City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,ilhabela,-23.7781,-45.3581,81.7,73,55,1.7,BR,2023-02-06 10:52:54
203,cantagallo,7.376,-73.9196,73.26,80,86,0.27,CO,2023-02-06 10:52:54
204,cap malheureux,-19.9842,57.6142,85.46,69,61,8.99,MU,2023-02-06 10:52:55
205,san vicente,-26.6167,-54.1333,68.56,52,81,1.3,AR,2023-02-06 10:52:55
206,meulaboh,4.1363,96.1285,77.59,86,97,7.29,ID,2023-02-06 10:52:55
207,kattivakkam,13.2167,80.3167,86.09,65,100,10.11,IN,2023-02-06 10:52:56
208,carballo,43.213,-8.691,54.91,61,4,7.47,ES,2023-02-06 10:52:56
209,shelburne,44.0787,-80.2041,23.76,96,90,9.19,CA,2023-02-06 10:52:01
210,port blair,11.6667,92.75,84.24,70,40,5.75,IN,2023-02-06 10:50:26
211,vardo,70.3705,31.1107,31.98,80,0,18.41,NO,2023-02-06 10:52:57
212,kavaratti,10.5669,72.642,81.3,69,99,8.68,IN,2023-02-06 10:52:57
213,labuhan,-6.8844,112.2051,79.86,85,83,12.3,ID,2023-02-06 10:52:58
214,luderitz,-26.6481,15.1594,73.85,63,75,15.66,NA,2023-02-06 10:52:58
215,nanortalik,60.1432,-45.2371,14.99,86,100,9.86,GL,2023-02-06 10:52:58
216,chicama,-7.8447,-79.1469,68.54,79,65,4.03,PE,2023-02-06 10:52:59
217,manitouwadge,49.1215,-85.8403,-14.66,100,62,3.69,CA,2023-02-06 10:52:59
218,caldwell,43.6629,-116.6874,40.15,79,100,6.91,US,2023-02-06 10:51:47
219,dingle,10.9995,122.6711,76.87,87,48,7.29,PH,2023-02-06 10:53:00
220,tuatapere,-46.1333,167.6833,59.18,69,86,6.35,NZ,2023-02-06 10:50:17
221,tecolutilla,18.2833,-93.3167,68.59,92,18,6.67,MX,2023-02-06 10:53:00
222,bathsheba,13.2167,-59.5167,77.61,73,40,20.71,BB,2023-02-06 10:53:01
223,guerrero negro,27.9769,-114.0611,57.2,80,44,21.94,MX,2023-02-06 10:49:10
224,adrar,20.5022,-10.0711,68.11,19,95,11.05,MR,2023-02-06 10:53:01
225,birao,10.2849,22.7882,100.09,6,9,6.38,CF,2023-02-06 10:53:01
226,khoy,38.5504,44.9535,50.52,43,40,19.57,IR,2023-02-06 10:53:02
